"Y","t.k","r.i","L","Env","MAXT","MINT","RAIN","HUMIDITY","SUNSH","G","Rep","Group","Yield","WIND"
"2002",2002,1994,"BARISHAL","2002-BARISHAL",31.3835215053763,24.5018637992832,1773,88.4533378136201,5.11841845878136,"BRRI dhan31","2","Long",5.05,3.17705421146953
"2002",2002,1994,"BARISHAL","2002-BARISHAL",31.3835215053763,24.5018637992832,1773,88.4533378136201,5.11841845878136,"BRRI dhan32","1","Medium",5.7,3.17705421146953
"2002",2002,1998,"BARISHAL","2002-BARISHAL",31.3835215053763,24.5018637992832,1773,88.4533378136201,5.11841845878136,"BRRI dhan37","2","Long",3,3.17705421146953
"2002",2002,1988,"BARISHAL","2002-BARISHAL",31.3835215053763,24.5018637992832,1773,88.4533378136201,5.11841845878136,"BR22","3","Long",5.7,3.17705421146953
"2002",2002,1999,"BARISHAL","2002-BARISHAL",31.3835215053763,24.5018637992832,1773,88.4533378136201,5.11841845878136,"BRRI dhan39","3","Medium",3.7,3.17705421146953
"2002",2002,1980,"BARISHAL","2002-BARISHAL",31.3835215053763,24.5018637992832,1773,88.4533378136201,5.11841845878136,"BR10","3","Long",4.7,3.17705421146953
"2002",2002,1976,"BARISHAL","2002-BARISHAL",31.3835215053763,24.5018637992832,1773,88.4533378136201,5.11841845878136,"BR5","1","Long",3.7,3.17705421146953
"2002",2002,1994,"BARISHAL","2002-BARISHAL",31.3835215053763,24.5018637992832,1773,88.4533378136201,5.11841845878136,"BRRI dhan30","2","Long",4.25,3.17705421146953
"2002",2002,1976,"BARISHAL","2002-BARISHAL",31.3835215053763,24.5018637992832,1773,88.4533378136201,5.11841845878136,"BR5","3","Long",2.5,3.17705421146953
"2002",2002,1994,"BARISHAL","2002-BARISHAL",31.3835215053763,24.5018637992832,1773,88.4533378136201,5.11841845878136,"BRRI dhan32","3","Medium",5.85,3.17705421146953
"2002",2002,1980,"BARISHAL","2002-BARISHAL",31.3835215053763,24.5018637992832,1773,88.4533378136201,5.11841845878136,"BR10","1","Long",4.3,3.17705421146953
